head,role,condition,signed_mean,mean_absolute_pair,max_absolute_pair,mean_absolute_family
L18H18,target,corruption,-0.016426268313080052,0.04045965028926726,0.0926882624626159,0.03145991871133445
L18H18,source,reorder,-0.0020624447381123907,0.014064873685128931,0.0388630162924528,0.007189578306861201
L18H18,source,corruption,0.0003051169449463507,0.00569494559895242,0.0233304612338542,0.004949672403745315
L18H19,target,reorder,0.039318649470806113,0.07262277640402312,0.2032064869999885,0.05463805533945559
L18H19,target,corruption,-0.00023920964449644817,0.05656784344464536,0.1685548573732376,0.049384217336773846
L18H19,source,reorder,-0.012423618161119504,0.03222676832228895,0.1474357768893242,0.02237986850086598
L18H19,source,corruption,-0.004770926130004223,0.013060735375620391,0.0717291608452797,0.011081504565663614
L18H22,target,reorder,0.02377260553184896,0.03483735297340895,0.2289186045527458,0.025895043485797926
L18H22,target,corruption,-0.0014869090635329448,0.01594002111814911,0.08148093521595,0.013564122607931476
L18H22,source,reorder,-0.010087002953514439,0.013079355889931265,0.0553278056904673,0.011122871702536914
L18H22,source,corruption,-0.00019852397963403636,0.004098198236897536,0.0145271457731723,0.003364949347451297
L18H24,target,reorder,-0.0073149522766470755,0.014037870801985226,0.0669898092746734,0.012453547865152337
L18H24,target,corruption,0.0047139206901192585,0.015492801181971976,0.0712369903922081,0.014306952059268921
L18H24,source,reorder,-0.01568882931023833,0.01974958609789605,0.0845451690256595,0.017090522497892346
L18H24,source,corruption,0.0005427119322121175,0.006137403380125718,0.0200012922286987,0.00544755822047589
L18H5,target,reorder,0.0007455452927388202,0.008673020021524236,0.0335530657321214,0.00548307903809471
L18H5,target,corruption,-2.0726118236777476e-05,0.009670328162610486,0.0283225141465663,0.008857867959886752
L18H5,source,reorder,-0.018603966897353507,0.028517530532553754,0.0868210066109895,0.02034951332025228
