head,anchor,current_role,events,families,target,control,gap
L19H16,last,control,92,59,0.026293486008146977,0.019732252464247358,0.00656123354389962
L19H16,first,target,18,6,0.015854013462861378,0.01276238119074454,0.00309163227211684
L19H16,last,target,18,6,0.02414592761003102,0.02764982309114809,-0.00350389548111707
L19H22,first,neither,79,47,0.005804953285441767,0.005855949332714125,-5.0996047272357975e-05
L19H22,last,neither,79,47,0.00578369666600983,0.004737764318959664,0.0010459323470501656
L19H22,first,control,19,13,0.004638711295018976,0.019411845686800707,-0.014773134391781729
L19H22,last,control,19,13,0.0016626202716277195,0.003452919817601259,-0.0017902995459735394
L20H1,first,neither,3,2,0.015519466251134872,0.02824507560580969,-0.012725609354674816
L20H1,last,neither,3,2,0.0,0.0181919876486063,-0.0181919876486063
L20H7,first,control,18,15,0.012217517266981304,0.008783379230509227,0.003434138036472076
L20H7,last,control,18,15,0.031652804588278134,0.015241304629792765,0.016411499958485364
L20H7,first,neither,8,7,0.0004266892626349415,0.003583085091252412,-0.0031563958286174704
L20H7,last,neither,8,7,0.020375810297472135,0.020172650160800134,0.00020316013667200292
L20H14,first,neither,30,17,0.018305753480971736,0.01289102088453041,0.0054147325964413245
L20H14,last,neither,30,17,0.010726837075529985,0.012906272064938568,-0.0021794349894085838
L21H6,first,control,421,85,0.0050140682753946385,0.029550032482669995,-0.024535964207275357
L21H6,last,control,421,85,0.012003597033136755,0.015058961999550778,-0.003055364966414027
L21H6,first,neither,116,70,0.006340232832423811,0.010725527605274461,-0.004385294772850651
L21H6,last,neither,116,70,0.01851554345006921,0.014326198600218281,0.004189344849850935
L21H18,first,control,194,65,0.010889487970763674,0.027679403708555175,-0.01678991573779151
L21H18,last,control,194,65,0.007545472269941969,0.010691101848626407,-0.003145629578684437
L21H18,first,neither,185,74,0.011351868102092405,0.01024118529592076,0.001110682806171643
L21H18,last,neither,185,74,0.00940824031629902,0.012532346348049322,-0.0031241060317502996
L21H24,first,neither,30,20,0.009575940192250224,0.0073352483848187445,0.0022406918074314797
L21H24,last,neither,30,20,0.0071385916545599086,0.007221917759064429,-8.332610450452193e-05
L21H24,first,target,14,4,0.0345601849257946,0.005963747127195045,0.028596437798599557
L21H24,last,target,14,4,0.005689437501132488,0.0032301762141287325,0.0024592612870037557
L21H24,first,control,5,3,0.0028481228897968927,0.01746864559956723,-0.014620522709770337
L21H24,last,control,5,3,0.010723851000269255,0.0012431806988186308,0.009480670301450623
L21H25,first,neither,56,35,0.023848396385354655,0.019155031545752925,0.0046933648396017295
L21H25,last,neither,56,35,0.012856200525891924,0.008433004745526152,0.004423195780365772
L21H25,first,control,51,34,0.01939918305930298,0.04204722574072281,-0.022648042681419824
L21H25,last,control,51,34,0.008524223514969516,0.011109966233312197,-0.0025857427183426825
L21H25,first,target,5,1,0.13019152283668517,0.0006419826609392961,0.12954954017574588
L21H25,last,target,5,1,0.0,0.0017122118423382442,-0.0017122118423382442
L21H27,first,neither,140,66,0.003057646942803141,0.0034269545831438664,-0.00036930764034072546
L21H27,last,neither,140,66,0.01650174460791968,0.020758920115522366,-0.00425717550760269
L21H27,first,control,305,72,0.00384643496903486,0.017050150156872883,-0.013203715187838026
L21H27,last,control,305,72,0.021912587874597548,0.022464819835659133,-0.000552231961061589
L21H27,first,target,13,3,0.06128565035760403,0.006588928918871615,0.054696721438732415
L21H27,last,target,13,3,0.014177216837803522,0.016509532640965417,-0.0023323158031618926
L22H5,first,neither,14,5,0.05281306626275182,0.019518127121652167,0.03329493914109965
L22H5,last,neither,14,5,0.0014395722188055514,0.015478653181344271,-0.01403908096253872
L22H5,first,control,10,8,0.02302168484311551,0.041739823403380186,-0.018718138560264684
L22H5,last,control,10,8,0.00549776580495139,0.01079910309636034,-0.005301337291408951
L23H10,first,neither,29,17,0.01498288320213118,0.007805838873168588,0.007177044328962594
L23H10,last,neither,29,17,0.012383035721951256,0.008045464469628937,0.0043375712523223186
L23H10,first,target,31,12,0.04232028999023088,0.004361915475412926,0.03795837451481795
L23H10,last,target,31,12,0.006234662219261129,0.016425739722628216,-0.010191077503367086
L23H15,first,control,30,26,0.008379387176738909,0.020212785639346406,-0.011833398462607501
L23H15,last,control,30,26,0.02220296200651389,0.019057061933637712,0.0031459000728761726
