layer,head,fact_block,position,distance,evals,qk_passes,scored,families,frequency,strength_first,strength_last
1,8,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,8,test,test_other,previous,2136,0,0,0,0.0,,
1,8,test,test_other,self,2136,0,0,0,0.0,,
1,9,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,9,demo,demo,distance_ge_2,1000158,192,192,30,0.00019196966879233082,0.08712118555558845,0.005991992773488164
1,9,demo,demo,previous,8544,0,0,0,0.0,,
1,9,demo,demo,self,8544,0,0,0,0.0,,
1,9,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,9,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,9,test,test_other,distance_ge_2,57551,14,14,6,0.00024326249761081475,0.007603663818112442,0.008132996169609084
1,9,test,test_other,previous,2136,0,0,0,0.0,,
1,9,test,test_other,self,2136,2,2,1,0.0009363295880149813,0.0,0.0
1,10,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,10,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,10,demo,demo,previous,8544,0,0,0,0.0,,
1,10,demo,demo,self,8544,0,0,0,0.0,,
1,10,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,10,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,10,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,10,test,test_other,previous,2136,0,0,0,0.0,,
1,10,test,test_other,self,2136,0,0,0,0.0,,
1,11,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,11,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,11,demo,demo,previous,8544,0,0,0,0.0,,
1,11,demo,demo,self,8544,0,0,0,0.0,,
1,11,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,11,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,11,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,11,test,test_other,previous,2136,0,0,0,0.0,,
1,11,test,test_other,self,2136,0,0,0,0.0,,
1,12,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,12,demo,demo,distance_ge_2,1000158,144,144,24,0.00014397725159424811,0.0095680190740192,0.0
1,12,demo,demo,previous,8544,0,0,0,0.0,,
1,12,demo,demo,self,8544,0,0,0,0.0,,
1,12,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,12,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,12,test,test_other,distance_ge_2,57551,2,2,1,3.475178537297354e-05,0.0,0.008492519147694111
1,12,test,test_other,previous,2136,0,0,0,0.0,,
1,12,test,test_other,self,2136,0,0,0,0.0,,
1,13,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,13,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,13,demo,demo,previous,8544,0,0,0,0.0,,
1,13,demo,demo,self,8544,0,0,0,0.0,,
1,13,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,13,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
1,13,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
1,13,test,test_other,previous,2136,0,0,0,0.0,,
1,13,test,test_other,self,2136,12,12,2,0.0056179775280898875,0.017542044787357252,0.006773271132260561
1,14,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
1,14,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
1,14,demo,demo,previous,8544,0,0,0,0.0,,
1,14,demo,demo,self,8544,0,0,0,0.0,,
1,14,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
1,14,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
