head,rule,anchor,others,events,families,positive_fraction,negative_fraction,mean_contrast,family_mean_positive_fraction,label,self_event_fraction,final_site_events,answer_name_events,argmax_middle_events,label_last_anchor,label_same_role_controls,label_excluding_self,label_final_site_only,label_base_variant_only,scopeF_importance_178,scopeF_promotion,scopeF_suppression,scopeF_cross_check
L9H23,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-0.00043517552065045644,-0.0005081691099016853,7.299760754188795e-05,not applicable (insufficient support)
L9H26,80% of events; support >= 20 events / 10 families,first,all_visible_names,2,1,0.0,1.0,-0.009945297241210937,0.0,insufficient,0.0,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0009253373306788755,-0.0009909640537219102,6.56307413336936e-05,not applicable (insufficient support)
L10H16,80% of events; support >= 20 events / 10 families,first,all_visible_names,367,20,0.5204359673024523,0.47956403269754766,0.0024604373796759255,0.7,neither,0.555858310626703,0,19,0,neither,neither,neither,insufficient,neither,0.0009239496809712956,0.0004827949438202247,0.00044115875544172993,not applicable (no label)
L11H3,80% of events; support >= 20 events / 10 families,first,all_visible_names,1694,20,0.5708382526564345,0.42916174734356555,0.0012116698768841663,0.7,neither,0.016301292861157952,68,252,415,neither,neither,neither,neither,neither,0.0030929104665691934,0.0028432781776685395,0.000249636307191313,not applicable (no label)
L11H4,80% of events; support >= 20 events / 10 families,first,all_visible_names,338,20,0.34911242603550297,0.650887573964497,-0.0069927381340568594,0.35,neither,0.1791907514450867,0,1,0,neither,neither,neither,insufficient,neither,0.00043840086861942593,0.00019956438728932586,0.00023884049962075908,not applicable (no label)
L11H7,80% of events; support >= 20 events / 10 families,first,all_visible_names,2228,20,0.41741472172351884,0.5825852782764811,-0.005847843180403319,0.25,neither,0.0,0,320,769,neither,neither,neither,insufficient,neither,-0.00025024842680170293,-0.00039775719803370786,0.00014751278952266394,not applicable (no label)
L11H15,80% of events; support >= 20 events / 10 families,first,all_visible_names,790,20,0.5088607594936709,0.4911392405063291,-0.0011386870910346759,0.55,neither,1.0,0,78,0,neither,neither,insufficient,insufficient,neither,-0.0029604354601227836,-0.0026265690835674156,-0.00033385967940426943,not applicable (no label)
L11H20,80% of events; support >= 20 events / 10 families,first,all_visible_names,297,20,0.265993265993266,0.734006734006734,-0.015513391901480765,0.2,neither,0.0,0,128,0,neither,neither,neither,insufficient,neither,-0.0006536151585953959,-0.0007406513342696629,8.704019396492605e-05,not applicable (no label)
L11H27,80% of events; support >= 20 events / 10 families,first,all_visible_names,1138,20,0.45518453427065025,0.5448154657293497,-0.0024922716745034114,0.3,neither,0.0008547008547008547,0,92,98,neither,neither,neither,insufficient,neither,0.0029773872889829484,0.0035002633426966293,-0.0005228693565625823,not applicable (no label)
L12H2,80% of events; support >= 20 events / 10 families,first,all_visible_names,581,20,0.43029259896729777,0.5697074010327022,-0.00393830136157149,0.4,neither,0.0,0,72,66,neither,neither,neither,insufficient,neither,-0.0006904869936825185,-0.0008894673893960674,0.00019898709286464734,not applicable (no label)
L12H9,80% of events; support >= 20 events / 10 families,first,all_visible_names,300,20,0.5066666666666667,0.49333333333333335,0.002106101853979958,0.55,neither,0.0,0,35,16,neither,neither,neither,insufficient,neither,0.00040807081072517993,0.0006755014483848314,-0.000267428628514322,not applicable (no label)
L12H17,80% of events; support >= 20 events / 10 families,first,all_visible_names,884,20,0.5452488687782805,0.45475113122171945,0.003291729272400811,0.65,neither,0.003171247357293869,0,175,345,neither,neither,neither,insufficient,neither,0.011775849910264605,0.011961519048455056,-0.00018566511989979263,not applicable (no label)
L13H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,348,20,0.39655172413793105,0.603448275862069,-0.0042069016374162325,0.6,neither,0.0,0,40,70,neither,neither,neither,insufficient,neither,8.198920260654407e-05,-0.00020779384655898877,0.00028978706745619185,not applicable (no label)
L13H10,80% of events; support >= 20 events / 10 families,first,all_visible_names,700,20,0.43142857142857144,0.5685714285714286,-0.0026266337306726545,0.4,neither,0.3242876526458616,0,124,38,neither,neither,neither,insufficient,neither,-0.02869138289033697,-0.027826544943820225,-0.0008648312493656458,not applicable (no label)
L13H22,80% of events; support >= 20 events / 10 families,first,all_visible_names,251,20,0.4342629482071713,0.5657370517928287,-0.005202494377633965,0.3,neither,0.0,0,0,0,neither,neither,neither,insufficient,neither,0.00019768918498178547,0.00018310546875,1.458739966488956e-05,not applicable (no label)
L13H30,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-0.00023725595367088748,-0.000251684295997191,1.4432695474517479e-05,not applicable (insufficient support)
L14H10,80% of events; support >= 20 events / 10 families,first,all_visible_names,906,20,0.5066225165562914,0.49337748344370863,-0.00011766659064359581,0.45,neither,0.10382513661202186,0,3,11,neither,neither,neither,insufficient,neither,-0.001777314068226332,-0.0017885358146067416,1.1225764671068514e-05,not applicable (no label)
L14H23,80% of events; support >= 20 events / 10 families,first,all_visible_names,1119,20,0.4915102770330652,0.5084897229669347,-0.002785632931337422,0.4,neither,1.0,0,160,0,neither,neither,insufficient,insufficient,neither,-0.024763487697987075,-0.023751591028792134,-0.0010118913114740607,not applicable (no label)
L14H26,80% of events; support >= 20 events / 10 families,first,all_visible_names,959,20,0.5380604796663191,0.4619395203336809,0.0006978536029221659,0.6,neither,0.09550118389897395,0,171,329,neither,neither,neither,insufficient,neither,0.006610398881890801,0.004307436139396067,0.002302966760785392,not applicable (no label)
L15H0,80% of events; support >= 20 events / 10 families,first,all_visible_names,345,20,0.5043478260869565,0.4956521739130435,-0.005773461360286399,0.4,neither,0.0,0,44,87,neither,neither,neither,insufficient,neither,0.0002642213628533181,6.926461551966293e-05,0.0001949607656243142,not applicable (no label)
L15H2,80% of events; support >= 20 events / 10 families,first,all_visible_names,593,20,0.7166947723440135,0.28330522765598654,0.05746999085787107,0.95,neither,0.00487012987012987,0,36,156,neither,neither,neither,insufficient,neither,0.008591657274224784,0.008490058813202247,0.00010160314902830659,not applicable (no label)
L15H3,80% of events; support >= 20 events / 10 families,first,all_visible_names,863,20,0.5353418308227115,0.4646581691772885,0.00010028856285938033,0.5,neither,0.1251435132032147,29,49,184,neither,neither,neither,neither,neither,-0.04886506112773767,-0.049456992845856744,0.0005919357364097338,not applicable (no label)
L15H18,80% of events; support >= 20 events / 10 families,first,all_visible_names,220,19,0.6590909090909091,0.3409090909090909,0.016180086479042514,0.631578947368421,neither,0.02727272727272727,0,1,7,neither,neither,neither,insufficient,neither,0.040496719017457425,0.039938851688685044,0.0005578713470630432,not applicable (no label)
L15H25,80% of events; support >= 20 events / 10 families,first,all_visible_names,1797,20,0.41736227045075125,0.5826377295492488,-0.0036643810350495574,0.25,neither,0.007637752318603383,0,573,950,neither,neither,neither,insufficient,neither,0.16857893547315275,0.16585429330890097,0.0027246461825424367,not applicable (no label)
L15H27,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,0.0036656936902678414,0.0036909124824438203,-2.5216448173094333e-05,not applicable (insufficient support)
L15H28,80% of events; support >= 20 events / 10 families,first,all_visible_names,873,20,0.44558991981672397,0.5544100801832761,-0.0034660862847656275,0.45,neither,0.003436426116838488,15,23,37,neither,neither,neither,insufficient,neither,0.01139362206619777,0.011327850684691011,6.577406036719847e-05,not applicable (no label)
