head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L9H16,base,earlier,source,last,output,0.0023691704171680938,0.02164819743223439,-0.032454843106477164,0.054415431287553585,20,947,0.5
L9H16,base,final,source,first,raw,-0.00021345416704813633,0.0053730711180445725,-0.009043375651041666,0.009752591451009115,20,40,0.5
L9H16,base,final,source,first,output,0.006858245531717935,0.03227764385768183,-0.07114283243815105,0.07217661539713541,20,40,0.55
L9H16,base,final,source,last,raw,0.002537234624226888,0.008305257016340092,-0.013444264729817707,0.016239484151204426,20,40,0.6
L9H16,base,final,source,last,output,0.0033718427022298167,0.0253017401256115,-0.042704264322916664,0.0474395751953125,20,40,0.55
L9H16,base,final,target,first,raw,-0.00019212961196899412,0.004440412810865349,-0.007616996765136719,0.010198593139648438,20,40,0.5
L9H16,base,final,target,first,output,-0.0083375612894694,0.01918861617947275,-0.04128265380859375,0.025035699208577473,20,40,0.4
L9H16,base,final,target,last,raw,-0.001354555288950602,0.008781535820221429,-0.020961761474609375,0.010460933049519857,20,40,0.4
L9H16,base,final,target,last,output,0.0028606096903483072,0.017597963945430055,-0.03687795003255208,0.03194427490234375,20,40,0.65
L9H23,base,earlier,target,first,raw,0.001164935598625235,0.004508122987381022,-0.0057670147188248165,0.009234772788153756,20,1193,0.5
L9H23,base,earlier,target,first,output,-0.0021046274337445997,0.006423127679545877,-0.014652440782453195,0.0098539627260632,20,1193,0.5
L9H23,base,earlier,target,last,raw,0.0014591509553924685,0.005292054052084861,-0.009409878423305158,0.011850731126193344,20,1193,0.55
L9H23,base,earlier,target,last,output,0.0014799235245343718,0.005291094628009011,-0.007384902552554482,0.014921865828050293,20,1193,0.65
L9H23,base,earlier,source,first,raw,-0.0017458350206056238,0.007014818754107263,-0.016441917419433592,0.01054831599512844,20,947,0.45
L9H23,base,earlier,source,first,output,-0.0009871030634315647,0.012729540053643856,-0.040910886128743496,0.023551712230760222,20,947,0.5
L9H23,base,earlier,source,last,raw,-0.0006799541447616229,0.00423558747363482,-0.011585000200548035,0.005113055308659871,20,947,0.45
L9H23,base,earlier,source,last,output,0.0020136805199988195,0.00786248867035302,-0.019562291450240986,0.0167871786623585,20,947,0.8
L9H23,base,final,source,first,raw,0.001922857761383057,0.010919022466382246,-0.016370773315429688,0.023843765258789062,20,40,0.55
L9H23,base,final,source,first,output,-0.0008772542079289755,0.011101260478792362,-0.03345743815104167,0.02061875661214193,20,40,0.45
L9H23,base,final,source,last,raw,-0.003330530722935995,0.007671197822364409,-0.01811075210571289,0.013008952140808105,20,40,0.3
L9H23,base,final,source,last,output,0.0016688535610834758,0.008960554259601463,-0.02600701649983724,0.013644536336263021,20,40,0.75
L9H23,base,final,target,first,raw,0.0006280024846394858,0.005971746378338525,-0.012124379475911459,0.012281417846679688,20,40,0.65
L9H23,base,final,target,first,output,-0.0018278891841570534,0.0060353580387622,-0.015055179595947266,0.009940942128499348,20,40,0.4
L9H23,base,final,target,last,raw,-0.0009886781374613442,0.007137734397168236,-0.013845443725585938,0.012244741121927898,20,40,0.5
L9H23,base,final,target,last,output,0.001610109210014343,0.004422168558622748,-0.00667572021484375,0.009305318196614582,20,40,0.7
L11H3,base,earlier,target,first,raw,0.00019782178176748068,0.005852408370667956,-0.01849159838139326,0.010274170434962936,20,1193,0.55
L11H3,base,earlier,target,first,output,-0.003208921609190675,0.009223142333516716,-0.019658631748623315,0.012217620357138213,20,1193,0.3
L11H3,base,earlier,target,last,raw,0.0017776453840881276,0.0072346185353350575,-0.007940222157372369,0.014982686016728967,20,1193,0.6
L11H3,base,earlier,target,last,output,-0.008017135026797479,0.0247241595597135,-0.04045656441295214,0.030137866392902942,20,1193,0.35
L11H3,base,earlier,source,first,raw,0.0030021487471769684,0.008988993215833782,-0.013798843435689705,0.021130015020785126,20,947,0.55
L11H3,base,earlier,source,first,output,-0.003556387845289965,0.019798908019041755,-0.048582594463790686,0.030481455982595253,20,947,0.4
L11H3,base,earlier,source,last,raw,-0.0021604229516793767,0.007706989476485528,-0.016981684720074688,0.009059747060139973,20,947,0.4
L11H3,base,earlier,source,last,output,0.003857085884080752,0.021997880357214755,-0.03205264690849516,0.047667994566843015,20,947,0.5
L11H3,base,final,source,first,raw,0.002192129691441854,0.006570699877124257,-0.010219256083170572,0.018012285232543945,20,40,0.6
L11H3,base,final,source,first,output,-0.0011245191097259519,0.023712877543898586,-0.05439122517903646,0.04222234090169271,20,40,0.45
L11H3,base,final,source,last,raw,-0.001075092951456706,0.006316342024749162,-0.011405626932779947,0.010709126790364584,20,40,0.35
L11H3,base,final,source,last,output,0.0033443649609883634,0.024158268182003416,-0.03752867380777995,0.04678535461425781,20,40,0.5
L11H3,base,final,target,first,raw,0.0005584716796875,0.004596545767716489,-0.008114814758300781,0.008879502614339193,20,40,0.55
L11H3,base,final,target,first,output,-0.006049979229768118,0.0114708043878378,-0.035531044006347656,0.009905815124511719,20,40,0.3
L11H3,base,final,target,last,raw,0.00031481583913167303,0.007136169960929815,-0.01363054911295573,0.015906333923339844,20,40,0.55
L11H3,base,final,target,last,output,-0.009537919362386068,0.025334368064439637,-0.039691925048828125,0.041113853454589844,20,40,0.3
L11H15,base,earlier,target,first,raw,0.0008159152942098485,0.004260418770921372,-0.005335799107948939,0.008662529375361301,20,1193,0.5
L11H15,base,earlier,target,first,output,0.002820238049627299,0.022715799977913943,-0.025382403467522293,0.03864091292194937,20,1193,0.45
L11H15,base,earlier,target,last,raw,0.001281880577879105,0.0038307576015017063,-0.004534403483072917,0.008247832782932969,20,1193,0.6
L11H15,base,earlier,target,last,output,0.0013174779728305835,0.023858147262936388,-0.03769464381256996,0.04118057356940375,20,1193,0.45
