id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,background,source,site
G1:I4:conditional:L17H3,noise,20,-0.12327291965484619,0.12780325412750243,-0.102447509765625,-0.4401702880859375,0.02154541015625,0.8,0.5,True,coherent,-0.17555026590824127,-0.07650218546390533,0.21329236030578613,11.200063323974609,-0.011006448453819978,0.011410940316197106,G1,I4,conditional,547,,,
G1:I4:interaction,noise,20,0.38702869415283203,0.38702869415283203,0.34494972229003906,0.05108642578125,1.0385894775390625,1.0,0.9,True,coherent,0.2964845275878906,0.4881355667114256,0.2943859100341797,11.200063323974609,0.034555938029775864,0.034555938029775864,G1,I4,interaction,,,,
G1:I4:whole,noise,20,1.7184289932250976,1.7184289932250976,1.4703559875488281,0.48211669921875,3.6494598388671875,1.0,1.0,True,coherent,1.3826182651519776,2.0776683282852164,0.8886157989501953,11.200063323974609,0.15343029262581634,0.15343029262581634,G1,I4,whole,,,,
G1:O1:conditional:L16H1,noise,20,0.19652862548828126,0.19652862548828126,0.17779541015625,0.06396484375,0.505035400390625,1.0,0.75,True,coherent,0.148858642578125,0.2525864028930664,0.1577911376953125,11.200063323974609,0.01754709949430343,0.01754709949430343,G1,O1,conditional,513,,,
G1:O1:conditional:L17H3,noise,20,-0.06445846557617188,0.06930007934570312,-0.04961395263671875,-0.2041168212890625,0.0223388671875,0.85,0.25,False,below_rule,-0.09169607162475586,-0.03958251953125003,0.10233306884765625,11.200063323974609,-0.005755187601323066,0.00618747210092651,G1,O1,conditional,547,,,
G1:O1:conditional:L18H18,noise,20,2.297627258300781,2.297627258300781,2.42010498046875,1.301025390625,3.5706787109375,1.0,1.0,True,coherent,2.0120147323608397,2.5875609302520752,3.4310943603515627,11.200063323974609,0.20514413104991386,0.20514413104991386,G1,O1,conditional,594,,,
G1:O1:conditional:L18H19,noise,20,2.6712013244628907,2.6712013244628907,2.6678466796875,1.337158203125,3.9772491455078125,1.0,1.0,True,coherent,2.3577163124084475,2.989961853027343,2.2199722290039063,11.200063323974609,0.2384987698011471,0.2384987698011471,G1,O1,conditional,595,,,
G1:O1:interaction,noise,20,-0.557248878479004,0.8531969070434571,-0.49053192138671875,-2.3088531494140625,1.112091064453125,0.8,1.0,True,coherent,-0.926744623184204,-0.18395747661590583,1.158785629272461,11.200063323974609,-0.049754082843993325,0.07617786456770495,G1,O1,interaction,,,,
G1:O1:whole,noise,20,5.745597648620605,5.745597648620605,5.896675109863281,3.39337158203125,8.359397888183594,1.0,1.0,True,coherent,5.137675375938415,6.354277029037475,4.816399765014649,11.200063323974609,0.512996889608803,0.512996889608803,G1,O1,whole,,,,
G1:O2:conditional:L16H1,noise,20,0.9607853174209595,0.9607853174209595,0.7861747741699219,0.41375732421875,2.296032428741455,1.0,1.0,True,coherent,0.7661905771493912,1.180904608368873,0.5921309947967529,11.200063323974609,0.0857839183252048,0.0857839183252048,G1,O2,conditional,513,,,
G1:O2:conditional:L16H21,noise,20,0.9845165491104126,0.9845165491104126,0.9783000946044922,0.1307373046875,2.101715087890625,1.0,1.0,True,coherent,0.7451519012451172,1.237041658759117,0.8421982288360595,11.200063323974609,0.08790276631766698,0.08790276631766698,G1,O2,conditional,533,,,
G1:O2:interaction,noise,20,0.10359995365142823,0.12165720462799072,0.09033203125,-0.180572509765625,0.5396847724914551,0.95,0.45,True,coherent,0.04695354044437409,0.16725714147090912,0.3143295764923096,11.200063323974609,0.009249943563235438,0.010862188999197352,G1,O2,interaction,,,,
G1:O2:whole,noise,20,1.841701912879944,1.841701912879944,1.5671234130859375,0.621826171875,3.80131196975708,1.0,1.0,True,coherent,1.479018940925598,2.2331401485204694,0.8633446216583252,11.200063323974609,0.16443674107963635,0.16443674107963635,G1,O2,whole,,,,
G1:O3:conditional:L18H18,noise,20,2.5003353118896485,2.5003353118896485,2.0317630767822266,1.0512733459472656,6.4503173828125,1.0,1.0,True,coherent,2.010177979469299,3.093192853927612,2.852824401855469,11.200063323974609,0.22324296207660593,0.22324296207660593,G1,O3,conditional,594,,,
