layer,head,variant,evals,qk_passes,freq,n_a,strength_first,strength_last,null_tok10,null_random
2,23,corrupted,513588,96,0.00018692,96,0.00505468,0.0374542,0.0235011,0.0395073
2,23,reorder,513581,101,0.000196658,101,0.00629846,0.0377034,0.0234216,0.0356985
2,24,base,513588,6,1.16825e-05,6,0.00555849,0.0203514,0.014259,0.00576852
2,24,corrupted,513588,6,1.16825e-05,6,0.00543205,0.020797,0.0149488,0.0200782
2,24,reorder,513581,7,1.36298e-05,7,0.00448444,0.0182909,0.0161308,0.0150199
2,25,base,513588,0,0,0,0,0,0,0
2,25,corrupted,513588,1,1.94709e-06,1,0.0576556,0,0.0457925,0.0115588
2,25,reorder,513581,0,0,0,0,0,0,0
2,26,base,513588,0,0,0,0,0,0,0
2,26,corrupted,513588,0,0,0,0,0,0,0
2,26,reorder,513581,0,0,0,0,0,0,0
2,27,base,513588,0,0,0,0,0,0,0
2,27,corrupted,513588,0,0,0,0,0,0,0
2,27,reorder,513581,0,0,0,0,0,0,0
2,28,base,513588,0,0,0,0,0,0,0
2,28,corrupted,513588,0,0,0,0,0,0,0
2,28,reorder,513581,0,0,0,0,0,0,0
2,29,base,513588,1,1.94709e-06,1,0.00966959,0,0,0.000227395
2,29,corrupted,513588,1,1.94709e-06,1,0.009412,0,0,0
2,29,reorder,513581,0,0,0,0,0,0,0
2,30,base,513588,0,0,0,0,0,0,0
2,30,corrupted,513588,0,0,0,0,0,0,0
2,30,reorder,513581,0,0,0,0,0,0,0
2,31,base,513588,0,0,0,0,0,0,0
2,31,corrupted,513588,0,0,0,0,0,0,0
2,31,reorder,513581,0,0,0,0,0,0,0
3,0,base,513588,0,0,0,0,0,0,0
3,0,corrupted,513588,0,0,0,0,0,0,0
3,0,reorder,513581,0,0,0,0,0,0,0
3,1,base,513588,0,0,0,0,0,0,0
3,1,corrupted,513588,0,0,0,0,0,0,0
3,1,reorder,513581,0,0,0,0,0,0,0
3,2,base,513588,0,0,0,0,0,0,0
3,2,corrupted,513588,0,0,0,0,0,0,0
3,2,reorder,513581,0,0,0,0,0,0,0
3,3,base,513588,0,0,0,0,0,0,0
3,3,corrupted,513588,0,0,0,0,0,0,0
3,3,reorder,513581,0,0,0,0,0,0,0
3,4,base,513588,3,5.84126e-06,3,0,0.0103858,0.00954459,0
3,4,corrupted,513588,3,5.84126e-06,3,0,0.0103777,0.00953541,0.0132007
3,4,reorder,513581,2,3.89423e-06,2,0,0.0160387,0.014764,0
3,5,base,513588,0,0,0,0,0,0,0
3,5,corrupted,513588,0,0,0,0,0,0,0
3,5,reorder,513581,0,0,0,0,0,0,0
3,6,base,513588,0,0,0,0,0,0,0
3,6,corrupted,513588,0,0,0,0,0,0,0
3,6,reorder,513581,0,0,0,0,0,0,0
3,7,base,513588,0,0,0,0,0,0,0
3,7,corrupted,513588,0,0,0,0,0,0,0
3,7,reorder,513581,0,0,0,0,0,0,0
3,8,base,513588,0,0,0,0,0,0,0
3,8,corrupted,513588,0,0,0,0,0,0,0
3,8,reorder,513581,0,0,0,0,0,0,0
3,9,base,513588,25,4.86771e-05,25,0.0172159,0.0174645,0.0241492,0.00864829
3,9,corrupted,513588,25,4.86771e-05,25,0.0200691,0.0206889,0.0242561,0.013059
3,9,reorder,513581,28,5.45192e-05,28,0.0175207,0.0147912,0.0222039,0.0206451
3,10,base,513588,0,0,0,0,0,0,0
3,10,corrupted,513588,0,0,0,0,0,0,0
3,10,reorder,513581,0,0,0,0,0,0,0
3,11,base,513588,50,9.73543e-05,50,0.2417,0.0562843,0.0185373,0.110587
3,11,corrupted,513588,50,9.73543e-05,50,0.241702,0.0562843,0.0185374,0.0741893
3,11,reorder,513581,49,9.54085e-05,49,0.245855,0.0574329,0.0183176,0.0797764
3,12,base,513588,1,1.94709e-06,1,0.0368752,0,0,0.00608152
3,12,corrupted,513588,2,3.89417e-06,2,0.0371088,0,0,0.00588609
3,12,reorder,513581,3,5.84134e-06,3,0.0125263,0.00737907,0.011958,0
3,13,base,513588,1,1.94709e-06,1,0,0.00624217,0.0186021,0
3,13,corrupted,513588,2,3.89417e-06,2,0,0.011789,0.0160382,0
3,13,reorder,513581,1,1.94711e-06,1,0,0.00549615,0.0182997,0.0282204
3,14,base,513588,0,0,0,0,0,0,0
3,14,corrupted,513588,0,0,0,0,0,0,0
3,14,reorder,513581,0,0,0,0,0,0,0
3,15,base,513588,0,0,0,0,0,0,0
3,15,corrupted,513588,0,0,0,0,0,0,0
3,15,reorder,513581,0,0,0,0,0,0,0
3,16,base,513588,1125,0.00219047,1125,0.0222027,0.0251665,0.0140363,0.0254565
3,16,corrupted,513588,1149,0.0022372,1149,0.0222672,0.0252606,0.0143057,0.0256858
3,16,reorder,513581,1286,0.00250399,1286,0.0203286,0.024311,0.0142238,0.024368
3,17,base,513588,0,0,0,0,0,0,0
3,17,corrupted,513588,0,0,0,0,0,0,0
3,17,reorder,513581,0,0,0,0,0,0,0
3,18,base,513588,0,0,0,0,0,0,0
3,18,corrupted,513588,0,0,0,0,0,0,0
3,18,reorder,513581,0,0,0,0,0,0,0
3,19,base,513588,0,0,0,0,0,0,0
3,19,corrupted,513588,0,0,0,0,0,0,0
3,19,reorder,513581,0,0,0,0,0,0,0
3,20,base,513588,18,3.50475e-05,18,0.0370107,0.265764,0,0.175174
3,20,corrupted,513588,18,3.50475e-05,18,0.0370107,0.265764,0,0.164055
3,20,reorder,513581,18,3.5048e-05,18,0.0370107,0.265764,0,0.0902698
3,21,base,513588,0,0,0,0,0,0,0
3,21,corrupted,513588,0,0,0,0,0,0,0
3,21,reorder,513581,0,0,0,0,0,0,0
3,22,base,513588,0,0,0,0,0,0,0
3,22,corrupted,513588,0,0,0,0,0,0,0
3,22,reorder,513581,0,0,0,0,0,0,0
3,23,base,513588,0,0,0,0,0,0,0
3,23,corrupted,513588,0,0,0,0,0,0,0
3,23,reorder,513581,0,0,0,0,0,0,0
3,24,base,513588,0,0,0,0,0,0,0
3,24,corrupted,513588,0,0,0,0,0,0,0
3,24,reorder,513581,0,0,0,0,0,0,0
3,25,base,513588,0,0,0,0,0,0,0
3,25,corrupted,513588,0,0,0,0,0,0,0
3,25,reorder,513581,0,0,0,0,0,0,0
3,26,base,513588,0,0,0,0,0,0,0
3,26,corrupted,513588,0,0,0,0,0,0,0
3,26,reorder,513581,0,0,0,0,0,0,0
3,27,base,513588,0,0,0,0,0,0,0
3,27,corrupted,513588,0,0,0,0,0,0,0
3,27,reorder,513581,0,0,0,0,0,0,0
3,28,base,513588,18,3.50475e-05,18,0,0,0.0367662,0.0182889
3,28,corrupted,513588,18,3.50475e-05,18,0,0,0.0367662,0.0171521
3,28,reorder,513581,18,3.5048e-05,18,0,0,0.0367662,0.0131261
3,29,base,513588,0,0,0,0,0,0,0
3,29,corrupted,513588,0,0,0,0,0,0,0
3,29,reorder,513581,0,0,0,0,0,0,0
3,30,base,513588,109,0.000212232,109,0.0330895,0.0597015,0.025668,0.0343976
3,30,corrupted,513588,109,0.000212232,109,0.0332639,0.0606455,0.0260897,0.0396542
3,30,reorder,513581,112,0.000218077,112,0.0321931,0.0581105,0.024685,0.029961
3,31,base,513588,0,0,0,0,0,0,0
3,31,corrupted,513588,0,0,0,0,0,0,0
3,31,reorder,513581,0,0,0,0,0,0,0
4,0,base,513588,269,0.000523766,269,0.0520247,0.0379109,0.0301192,0.0342006
4,0,corrupted,513588,268,0.000521819,268,0.0522658,0.0370181,0.0302305,0.0290266
4,0,reorder,513581,270,0.00052572,270,0.0517625,0.0377444,0.0299669,0.0292226
4,1,base,513588,0,0,0,0,0,0,0
4,1,corrupted,513588,0,0,0,0,0,0,0
4,1,reorder,513581,0,0,0,0,0,0,0
4,2,base,513588,2,3.89417e-06,2,0,0,0.0169885,0.0127581
4,2,corrupted,513588,2,3.89417e-06,2,0,0,0.0169185,0
4,2,reorder,513581,3,5.84134e-06,3,0,0.0212047,0.0150486,0.0141083
4,3,base,513588,0,0,0,0,0,0,0
4,3,corrupted,513588,0,0,0,0,0,0,0
4,3,reorder,513581,0,0,0,0,0,0,0
4,4,base,513588,4,7.78834e-06,4,0.00108785,0.00635804,0.0156761,0.0220686
4,4,corrupted,513588,4,7.78834e-06,4,0.00108785,0.00635804,0.0154649,0.00966446
4,4,reorder,513581,8,1.55769e-05,8,0.00108785,0.0193621,0.0132628,0.00370716
4,5,base,513588,0,0,0,0,0,0,0
4,5,corrupted,513588,0,0,0,0,0,0,0
4,5,reorder,513581,0,0,0,0,0,0,0
4,6,base,513588,0,0,0,0,0,0,0
4,6,corrupted,513588,0,0,0,0,0,0,0
4,6,reorder,513581,0,0,0,0,0,0,0
4,7,base,513588,0,0,0,0,0,0,0
4,7,corrupted,513588,0,0,0,0,0,0,0
4,7,reorder,513581,0,0,0,0,0,0,0
4,8,base,513588,0,0,0,0,0,0,0
4,8,corrupted,513588,0,0,0,0,0,0,0
4,8,reorder,513581,0,0,0,0,0,0,0
4,9,base,513588,0,0,0,0,0,0,0
4,9,corrupted,513588,0,0,0,0,0,0,0
4,9,reorder,513581,0,0,0,0,0,0,0
4,10,base,513588,424,0.000825564,424,0.0164803,0.0451113,0.0273323,0.0225227
4,10,corrupted,513588,425,0.000827512,425,0.015166,0.0451787,0.0275131,0.0222271
4,10,reorder,513581,537,0.0010456,537,0.0155717,0.0397404,0.0262048,0.0218124
4,11,base,513588,0,0,0,0,0,0,0
4,11,corrupted,513588,0,0,0,0,0,0,0
4,11,reorder,513581,0,0,0,0,0,0,0
4,12,base,513588,0,0,0,0,0,0,0
4,12,corrupted,513588,0,0,0,0,0,0,0
4,12,reorder,513581,0,0,0,0,0,0,0
4,13,base,513588,66,0.000128508,66,0.102554,0.060453,0,0.103803
4,13,corrupted,513588,66,0.000128508,66,0.102554,0.060453,0,0.0946769
4,13,reorder,513581,66,0.000128509,66,0.102554,0.060453,0,0.0990282
4,14,base,513588,211,0.000410835,211,0.0132057,0.00778235,0.0395612,0.0275238
4,14,corrupted,513588,212,0.000412782,212,0.0121732,0.00776228,0.0394178,0.0281538
4,14,reorder,513581,387,0.000753533,387,0.0138662,0.0111011,0.0302392,0.0184856
4,15,base,513588,24,4.67301e-05,24,0.111389,0.0166973,0.0152835,0.0590078
4,15,corrupted,513588,25,4.86771e-05,25,0.103806,0.0226655,0.0164433,0.0660827
4,15,reorder,513581,24,4.67307e-05,24,0.109807,0.0168883,0.0108339,0.0331432
4,16,base,513588,0,0,0,0,0,0,0
4,16,corrupted,513588,0,0,0,0,0,0,0
4,16,reorder,513581,0,0,0,0,0,0,0
4,17,base,513588,0,0,0,0,0,0,0
4,17,corrupted,513588,0,0,0,0,0,0,0
4,17,reorder,513581,0,0,0,0,0,0,0
4,18,base,513588,0,0,0,0,0,0,0
4,18,corrupted,513588,0,0,0,0,0,0,0
4,18,reorder,513581,0,0,0,0,0,0,0
4,19,base,513588,0,0,0,0,0,0,0
4,19,corrupted,513588,0,0,0,0,0,0,0
4,19,reorder,513581,0,0,0,0,0,0,0
4,20,base,513588,0,0,0,0,0,0,0
4,20,corrupted,513588,0,0,0,0,0,0,0
4,20,reorder,513581,0,0,0,0,0,0,0
4,21,base,513588,0,0,0,0,0,0,0
4,21,corrupted,513588,0,0,0,0,0,0,0
4,21,reorder,513581,0,0,0,0,0,0,0
4,22,base,513588,0,0,0,0,0,0,0
4,22,corrupted,513588,0,0,0,0,0,0,0
4,22,reorder,513581,0,0,0,0,0,0,0
4,23,base,513588,2,3.89417e-06,2,0.0170177,0.014608,0,0
