head,phase,direction,mode,prior_P,prior_F,conditional_mean,conditional_ma,conditional_class,conditional_retained,ci_low,ci_high,change_mean,change_ma,change_retained
L19H16,sensitivity,noise,mean,-0.8197843251603373,-0.8292487685600024,-0.4483487739991606,0.4486781238170152,coherent,True,-0.5152999237682043,-0.38660470247268675,-0.036998625551716666,0.041805315553472285,False
L19H16,sensitivity,restore,mean,-0.8197843251603373,-0.8292487685600024,-0.4272139340304257,0.4297163754366757,coherent,True,-0.47999366106611957,-0.37568729566724113,-0.026026937399017677,0.03352311755834001,False
L20H7,conditional,noise,donor,-0.026114008399877656,-0.026040495111701194,-0.03393058776855469,0.3389087677001953,heterogeneous,True,-0.2402732276916504,0.19096371650695748,0.043364882469177246,0.1226076364517212,True
L20H7,extension,noise,donor,-0.026114008399877656,-0.026040495111701194,0.031951144839940444,0.3175638940896881,heterogeneous,True,-0.060342607303951565,0.12738213006700014,0.058065153239818104,0.12291342087006302,True
L20H7,extension,restore,donor,-0.026114008399877656,-0.026040495111701194,0.09921596559245935,0.3141122266147914,heterogeneous,True,0.010153129060616656,0.19570843523807738,0.020147899563392895,0.0983111590481876,False
L20H7,sensitivity,noise,mean,-0.026114008399877656,-0.026040495111701194,-0.17662190855219123,0.356773012139824,coherent,True,-0.2567503876900405,-0.09060158876890566,0.003933826189362601,0.05124678772486997,False
L20H7,sensitivity,restore,mean,-0.026114008399877656,-0.026040495111701194,-0.10117491175619404,0.2954883307553409,coherent,True,-0.1699017907796281,-0.025167252508442137,-0.0023763099413239555,0.036616191435396,False
L21H25,conditional,noise,donor,0.054679736662446785,0.049697066960709815,0.06356201171875,0.06918182373046874,below_rule,False,0.03658897399902344,0.09656197547912596,0.008317518234252929,0.013966035842895509,False
L22H5,conditional,noise,donor,0.9824650635880031,0.9838193989871593,1.1714617729187011,1.1714617729187011,coherent,True,1.0149820065498354,1.3419928979873657,0.10319795608520507,0.13519105911254883,True
L22H5,extension,noise,donor,0.9824650635880031,0.9838193989871593,1.0878861151384505,1.0878861151384505,coherent,True,0.998988714814186,1.1803945268138072,0.10542105155044727,0.1335768364788441,True
L22H5,extension,restore,donor,0.9824650635880031,0.9838193989871593,1.1145947167042936,1.1145947167042936,coherent,True,1.0239584054839745,1.2065303933754394,0.10685044192196277,0.13666332973523088,True
L22H5,sensitivity,noise,mean,0.9824650635880031,0.9838193989871593,0.3043331349833628,0.37381106280208976,coherent,True,0.22553413597385535,0.3857467510727014,0.09253435992123035,0.0959179535340727,False
L22H5,sensitivity,restore,mean,0.9824650635880031,0.9838193989871593,0.2807041902220651,0.33355876568997844,coherent,True,0.2197602523846573,0.3417084841246015,0.08116874534092593,0.08419666665323665,False
L23H10,conditional,noise,donor,0.026634768153844256,0.03351576408643401,0.019424819946289064,0.03710517883300781,below_rule,False,0.003482542037963868,0.03418950080871579,0.002642059326171875,0.0093048095703125,False
L23H15,conditional,noise,donor,-0.9468907184815138,-0.953273545490222,-0.9332725524902343,0.9332725524902343,coherent,True,-1.1336070442199708,-0.7590224456787112,0.016022682189941406,0.14041805267333984,True
L23H15,extension,noise,donor,-0.9468907184815138,-0.953273545490222,-0.9328657094012486,0.9328657094012486,coherent,True,-1.0503313297636054,-0.8267179245024585,0.014025009080265344,0.10621987701801772,True
L23H15,extension,restore,donor,-0.9468907184815138,-0.953273545490222,-0.9019715946711852,0.9034995309422525,coherent,True,-1.0072320776039294,-0.8061406300309003,0.023416961177011555,0.1108684888046779,True
L23H15,sensitivity,noise,mean,-0.9468907184815138,-0.953273545490222,-0.3942497071255459,0.4026282717672627,coherent,True,-0.45702981051434294,-0.3354938132039617,7.726369279154231e-05,0.029858165912413866,False
L23H15,sensitivity,restore,mean,-0.9468907184815138,-0.953273545490222,-0.34622964162505077,0.3507860189073541,coherent,True,-0.3931395799256443,-0.30058137352546954,0.004388720801707064,0.030481180448210642,False
L25H18,conditional,noise,donor,-0.0006707384345236789,0.0005054581031370699,0.000797271728515625,0.043003082275390625,below_rule,False,-0.030014266967773436,0.047441864013671876,-0.0049344062805175785,0.008849811553955079,False
L26H23,conditional,noise,donor,-0.36743931556015874,-0.3693097628904193,-0.4266944885253906,0.4266944885253906,coherent,True,-0.6298026847839355,-0.2670729446411133,0.01070641279220581,0.047781836986541745,False
L26H23,extension,noise,donor,-0.36743931556015874,-0.3693097628904193,-0.3666035178002347,0.37567958269226415,coherent,True,-0.4578721102703823,-0.284374906474285,0.0008357977599240421,0.030622333623050304,False
L26H23,extension,restore,donor,-0.36743931556015874,-0.3693097628904193,-0.35367338309127294,0.3565910692965047,coherent,True,-0.4404466421416636,-0.2745091459724342,-0.006668993596280559,0.03374056601792239,False
L26H23,sensitivity,noise,mean,-0.36743931556015874,-0.3693097628904193,-0.16742899176779757,0.20735498492637378,coherent,True,-0.23557331387916308,-0.10981676230269877,-0.0006010130550084489,0.014971599150239752,False
L26H23,sensitivity,restore,mean,-0.36743931556015874,-0.3693097628904193,-0.14526940195747975,0.18687249569410688,coherent,True,-0.1931444757440117,-0.10137815750047068,0.0025212041447671613,0.01260967468947507,False
L26H31,conditional,noise,donor,0.029452800750732422,0.02733502227268862,0.0090118408203125,0.03603057861328125,below_rule,False,-0.013774147033691406,0.040471019744873035,0.000487518310546875,0.00505523681640625,False
L27H23,conditional,noise,donor,-0.0011554889464646242,-0.0011011348681503467,-0.0012914657592773438,0.0032587051391601562,below_rule,False,-0.0032944250106811523,0.0005281686782836893,0.0002758026123046875,0.0019359588623046875,False
L30H3,conditional,noise,donor,0.0024081401610642336,0.0021694376227561008,-0.004048728942871093,0.005968284606933594,below_rule,False,-0.007480049133300781,-0.0009328460693359408,0.001143169403076172,0.0029046058654785155,False
