family,mode,direction,background,effect
60,mean,restore,weakened,0.4526815414428711
62,mean,restore,weakened,0.46044921875
64,mean,restore,weakened,0.327117919921875
66,mean,restore,weakened,-1.0860595703125
68,mean,restore,weakened,-0.3707275390625
70,mean,restore,weakened,-0.720916748046875
72,mean,restore,weakened,-0.54144287109375
76,mean,restore,weakened,0.7011871337890625
78,mean,restore,weakened,0.35479736328125
80,mean,restore,weakened,-0.9428787231445312
82,mean,restore,weakened,-0.24591064453125
84,mean,restore,weakened,-1.33001708984375
86,mean,restore,weakened,-1.9937057495117188
88,mean,restore,weakened,-1.3784103393554688
90,mean,restore,weakened,-2.317169189453125
92,mean,restore,weakened,-2.3536033630371094
94,mean,restore,weakened,-0.11737060546875
96,mean,restore,weakened,0.3968505859375
98,mean,restore,weakened,-0.35662841796875
100,mean,restore,weakened,-1.019287109375
102,mean,restore,weakened,-0.413665771484375
104,mean,restore,weakened,-0.570892333984375
108,mean,restore,weakened,-2.2637975215911865
110,mean,restore,weakened,-0.16949462890625
112,mean,restore,weakened,-0.80743408203125
114,mean,restore,weakened,-1.57501220703125
116,mean,restore,weakened,-0.5797233581542969
118,mean,restore,weakened,-0.909332275390625
120,mean,restore,weakened,-1.6512451171875
122,mean,restore,weakened,-1.240753173828125
124,mean,restore,weakened,-0.853271484375
126,mean,restore,weakened,-0.32221221923828125
128,mean,restore,weakened,-0.37188720703125
130,mean,restore,weakened,-0.95648193359375
132,mean,restore,weakened,-1.38006591796875
134,mean,restore,weakened,-0.7803955078125
136,mean,restore,weakened,-0.2516965866088867
138,mean,restore,weakened,-1.891571044921875
140,mean,restore,weakened,-0.75848388671875
142,mean,restore,weakened,-1.7376861572265625
148,mean,restore,weakened,-0.6268463134765625
150,mean,restore,weakened,0.71923828125
152,mean,restore,weakened,-1.1845169067382812
154,mean,restore,weakened,-0.77294921875
156,mean,restore,weakened,-0.6384811401367188
