head,variant,site,metric,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L21H11,corrupted,earlier,distractor_target_first,0.0007563610931563293,0.00018665676045327565,0.000516499771449917,0.0010804427330827968,20,4413,1.0
L21H11,corrupted,earlier,distractor_target_last,0.00040096613608776275,9.10080803505514e-05,0.00029514437255784287,0.0006852600352902771,20,4413,1.0
L21H11,corrupted,earlier,distractor_source_mass,0.001541824807739639,0.0013689051212339462,0.0007618858969429064,0.007170631469977037,20,3633,1.0
L21H11,corrupted,earlier,distractor_source_first,0.000627491274436398,0.00017003761947763984,0.0003978673790821962,0.001023481463582337,20,3633,1.0
L21H11,corrupted,earlier,distractor_source_last,0.00037762755184647917,5.768063315538434e-05,0.0002736319971866559,0.00047905241710518415,20,3633,1.0
L21H11,corrupted,earlier,relevant_target_mass,0.0017556076035526041,0.00028498173986677127,0.0010635830433368366,0.002182449471499575,20,1193,1.0
L21H11,corrupted,earlier,relevant_target_first,0.0007460472169134913,0.00019752620529756517,0.00034160841077810817,0.0011732208475127425,20,1193,1.0
L21H11,corrupted,earlier,relevant_target_last,0.0003651837847101863,9.063348429846621e-05,0.00021396262000052956,0.0005325210401216489,20,1193,1.0
L21H11,corrupted,earlier,relevant_source_mass,0.000542283728647262,0.00018055548192286204,0.00040384207000452265,0.0011156227474566549,20,947,1.0
L21H11,corrupted,earlier,relevant_source_first,0.0002484719756160587,7.022485806348338e-05,0.00015167552563219273,0.0004269460288924165,20,947,1.0
L21H11,corrupted,earlier,relevant_source_last,0.00024702936581318016,2.116599853363431e-05,0.00020511282902747473,0.0002923651781748049,20,947,1.0
L21H11,corrupted,final,self,0.0024455899838358164,0.0008071856796667904,0.001219297875650227,0.004209937993437052,20,40,1.0
L21H11,corrupted,final,previous,0.0008439929843007121,0.00022557046683821847,0.0005298713367665187,0.001217621989781037,20,40,1.0
L21H11,corrupted,final,distractor_source_mass,0.0019036282086744905,0.001115374379189014,0.001127891397724549,0.006076197663787752,20,120,1.0
L21H11,corrupted,final,distractor_source_first,0.0008062073835996367,0.000289461940313071,0.00042156618534742546,0.0016657130036037415,20,120,1.0
L21H11,corrupted,final,distractor_source_last,0.0005450167200857929,0.00015411619922321124,0.00032716471954093623,0.0008228848649499317,20,120,1.0
L21H11,corrupted,final,distractor_target_mass,0.002314433571882546,0.0006356550019569335,0.00132266777412345,0.004182508176503082,20,120,1.0
L21H11,corrupted,final,distractor_target_first,0.0009931171305652244,0.00026136048373142924,0.0005370118111992875,0.0016665759806831677,20,120,1.0
L21H11,corrupted,final,distractor_target_last,0.0005485048684931825,0.0001552658606947127,0.00035986770429493237,0.0008476577107406532,20,120,1.0
L21H11,corrupted,final,relevant_source_mass,0.0009588533095666208,0.0004849322414523391,0.0005105101445224136,0.0026152300415560603,20,40,1.0
L21H11,corrupted,final,relevant_source_first,0.0004615627185557969,0.0002367564678436287,0.00023443887039320543,0.0010949003044515848,20,40,1.0
