head,family,order,base_margin,query_change_margin,source_query_preference_shift,source_reorder_change,source_corruption_change,target_query_preference_shift,target_reorder_change,target_corruption_change
L1H27,178,1,4.94228720664978,7.269891381263733,2.6720575988292694e-05,-0.0022606735583394766,-2.1129148080945015e-05,-0.00010984810069203377,-0.006189132574945688,-0.0007240576669573784
L1H27,186,0,7.7053669691085815,7.226882576942444,-0.00043210526928305626,-0.0009701922535896301,0.00010178424417972565,0.0004585627466440201,-0.0019466537050902843,-0.002313401084393263
L1H27,186,1,3.9118971824645996,7.691999316215515,0.00044756289571523666,-0.0044083609245717525,-2.237968146800995e-06,7.578544318675995e-05,-0.007780073210597038,-0.0044241296127438545
L1H27,192,0,9.294426560401917,6.950620532035828,0.00012009311467409134,-0.0009823909495025873,-4.5632943511009216e-05,4.8438552767038345e-05,-0.0016257483512163162,-0.0006743166595697403
L1H27,192,1,2.4967048168182373,7.872818946838379,-0.0007457621395587921,-0.0031684786081314087,-4.0170736610889435e-05,0.00018220720812678337,-0.00395205058157444,-0.0024760598316788673
L1H27,196,0,7.210710167884827,5.215872526168823,-1.3579847291111946e-05,0.002596427220851183,-1.6376841813325882e-05,3.3578602597117424e-05,0.006430822890251875,0.0009258575737476349
L1H27,196,1,5.493874192237854,7.508875608444214,-6.302166730165482e-05,-0.0032767602242529392,1.260172575712204e-05,1.1185184121131897e-06,-0.007531986106187105,0.0001372089609503746
L2H1,0,0,5.38088321685791,1.701812982559204,9.200372733175755e-05,0.0015999074093997478,-2.4489592760801315e-05,0.0006090344395488501,0.0006874550599604845,0.004070134134963155
L2H1,0,1,2.9023590087890625,7.276455879211426,-0.0003041424788534641,-0.006136337644420564,-5.8562494814395905e-05,-0.0012383823050186038,-0.00027953076642006636,0.001992027391679585
L2H1,16,0,7.11986517906189,2.0677086114883423,0.00033665215596556664,0.001204226166009903,-0.00024265097454190254,0.0012633136939257383,0.00011023879051208496,0.0012289858423173428
L2H1,16,1,6.09132444858551,4.657310485839844,-0.0009864112362265587,0.0008960315026342869,-0.0001218174584209919,-0.002527646254748106,0.0013483096845448017,-0.00036685471422970295
L2H1,32,0,10.526287913322449,2.1401418447494507,-0.00016061658971011639,0.000639644917100668,-7.257331162691116e-07,5.807727575302124e-06,-0.001362066250294447,-0.002455129288136959
L2H1,32,1,4.772899031639099,5.4145084619522095,-2.8659123927354813e-06,-0.0045138339046388865,4.158820956945419e-05,0.0001422930508852005,5.335989408195019e-05,-0.0009833511430770159
L2H1,48,0,6.600269794464111,6.54676365852356,0.0003780657425522804,0.0010911705903708935,-4.783598706126213e-05,-1.8150312826037407e-05,3.604218363761902e-07,0.0005443468689918518
L2H1,48,1,0.8600050210952759,8.195607900619507,-0.0001328393118456006,0.0015274850884452462,-1.678138505667448e-05,-3.074482083320618e-05,0.0028061000630259514,0.0010251919738948345
