id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,cohort,source,site
G2:L17H24:change,restore,89,-0.022868124286780197,0.048706193988242844,-0.0255126953125,-0.233612060546875,0.223388671875,0.7528089887640449,0.11235955056179775,False,below_rule,-0.036540925770663146,-0.009278670053803529,0.11029162031880925,11.170458413241954,-0.0020471965823418057,0.004360268145352421,G2,,change,568,,,
G2:L17H24:conditional,noise,89,0.4125053279855278,0.41287839680575256,0.381622314453125,-0.0166015625,1.1585693359375,0.9887640449438202,0.9775280898876404,True,coherent,0.37129222111085824,0.45597771754425553,0.8142455534988575,11.170458413241954,0.03692823631092219,0.036961634118462705,G2,,conditional,568,,,
G2:L17H24:conditional,restore,89,0.4131420435530416,0.4131420435530416,0.37396240234375,0.037109375,1.01751708984375,1.0,0.9662921348314607,True,coherent,0.37349888595302455,0.4542573107762283,0.8182902389697815,11.170458413241954,0.03698523626060725,0.03698523626060725,G2,,conditional,568,,,
G2:L18H19:change,noise,89,-0.06574637568398808,0.2495888096562932,-0.038360595703125,-0.7404632568359375,0.7983245849609375,0.5842696629213483,0.7528089887640449,True,heterogeneous,-0.129464573840077,-0.002363178669736693,0.414731478423215,11.170458413241954,-0.005885736578728894,0.022343649689471976,G2,,change,595,,,
G2:L18H19:change,restore,89,-0.08985028106175112,0.254450310482068,-0.093048095703125,-1.2621526718139648,0.7051239013671875,0.6629213483146067,0.7640449438202247,True,heterogeneous,-0.15968657356969426,-0.022861321856466606,0.37046206399296105,11.170458413241954,-0.008043562559190824,0.02277886019256214,G2,,change,595,,,
G2:L18H19:conditional,noise,89,3.0063918587866794,3.0063918587866794,2.96722412109375,0.126953125,5.727813720703125,1.0,1.0,True,coherent,2.8107180263219256,3.204266331436928,2.021186809861258,11.170458413241954,0.26913773343650516,0.26913773343650516,G2,,conditional,595,,,
G2:L18H19:conditional,restore,89,3.12895338187057,3.12895338187057,2.974365234375,0.2943115234375,6.120361328125,1.0,1.0,True,coherent,2.916757431726777,3.3384720354937434,2.286642342471005,11.170458413241954,0.2801096665971533,0.2801096665971533,G2,,conditional,595,,,
G2:L19H16:change,noise,89,-0.05394700805792648,0.09038136648328117,-0.026614665985107422,-0.65240478515625,0.2618408203125,0.6629213483146067,0.33707865168539325,False,below_rule,-0.08080704406406103,-0.02895738073949066,0.17171342989032187,11.170458413241954,-0.004829435468286182,0.008091106303760918,G2,,change,624,,,
G2:L19H16:change,restore,89,-0.07133444775356336,0.11622966273447101,-0.0455322265625,-0.55419921875,0.22922992706298828,0.6404494382022472,0.42696629213483145,True,heterogeneous,-0.10290380421649203,-0.04100258805778591,0.20272245299950076,11.170458413241954,-0.006385991077053772,0.01040509336632839,G2,,change,624,,,
G2:L19H16:conditional,noise,89,-0.8737313332182638,0.8744500393278143,-0.8172607421875,-2.5779075622558594,0.031982421875,0.9887640449438202,0.9775280898876404,True,coherent,-0.9758732508407549,-0.7756262445048001,0.5233497860726346,11.170458413241954,-0.07821803733520051,0.07828237722913883,G2,,conditional,624,,,
G2:L19H16:conditional,restore,89,-0.8926031294833409,0.8926031294833409,-0.8542633056640625,-2.3427734375,-0.0791015625,1.0,0.9662921348314607,True,coherent,-0.9855354610453831,-0.804091958517439,0.5380719752793901,11.170458413241954,-0.0799074752765034,0.0799074752765034,G2,,conditional,624,,,
