id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind,head,cohort
G2:L26H31:change,noise,20,0.000487518310546875,0.00505523681640625,0.000457763671875,-0.0156707763671875,0.017822265625,0.65,0.0,False,below_rule,-0.0025690126419067386,0.0035312223434448113,0.010477447509765625,11.200063323974609,4.352817447945174e-05,0.0004513578780920927,G2,change,863,
G2:L26H31:conditional,noise,20,0.0090118408203125,0.03603057861328125,-0.00421142578125,-0.072509765625,0.252105712890625,0.4,0.05,False,below_rule,-0.013774147033691406,0.040471019744873035,0.0354705810546875,11.200063323974609,0.0008046240953854209,0.0032169977589461473,G2,conditional,863,
G2:L27H23:change,noise,20,0.0002758026123046875,0.0019359588623046875,-0.0001049041748046875,-0.004192352294921875,0.00640869140625,0.5,0.0,False,below_rule,-0.000814061164855957,0.0014640855789184567,0.004491424560546875,11.200063323974609,2.4625094013023165e-05,0.00017285249255337838,G2,change,887,
G2:L27H23:conditional,noise,20,-0.0012914657592773438,0.0032587051391601562,-0.0008544921875,-0.012542724609375,0.0047454833984375,0.65,0.0,False,below_rule,-0.0032944250106811523,0.0005281686782836893,0.006321334838867187,11.200063323974609,-0.0001153087908452143,0.00029095417096300195,G2,conditional,887,
G2:L30H3:change,noise,20,0.001143169403076172,0.0029046058654785155,0.0006961822509765625,-0.0076904296875,0.007232666015625,0.65,0.0,False,below_rule,-0.0004836130142211914,0.002677257061004638,0.005565071105957031,11.200063323974609,0.0001020681196176033,0.0002593383431378446,G2,change,963,
G2:L30H3:conditional,noise,20,-0.004048728942871093,0.005968284606933594,-0.00262451171875,-0.025157928466796875,0.011962890625,0.75,0.0,False,below_rule,-0.007480049133300781,-0.0009328460693359408,0.009962844848632812,11.200063323974609,-0.0003614916117665579,0.0005328795413288436,G2,conditional,963,
G2:L6H24:change,noise,20,-0.007536578178405762,0.0527693510055542,-0.01280069351196289,-0.10355377197265625,0.1473388671875,0.55,0.1,False,below_rule,-0.03511048078536987,0.020708837509155274,0.07330584526062012,11.200063323974609,-0.0006729049613740244,0.004711522558323156,G2,change,216,
G2:L6H24:conditional,noise,20,0.003469419479370117,0.27115740776062014,-0.022451400756835938,-0.7868423461914062,0.9029083251953125,0.5,0.75,True,heterogeneous,-0.15990739345550536,0.1691189849376678,0.322141170501709,11.200063323974609,0.00030976784496776494,0.024210345952257836,G2,conditional,216,
G2:L8H15:change,noise,20,-0.0173583984375,0.042496109008789064,-0.020940780639648438,-0.13812255859375,0.07379150390625,0.75,0.05,False,below_rule,-0.03951752185821533,0.00442114830017089,0.09765625,11.200063323974609,-0.0015498482406204788,0.0037942739946677647,G2,change,271,
G2:L8H15:conditional,noise,20,0.3496511459350586,0.39798870086669924,0.2705078125,-0.24613189697265625,0.99017333984375,0.85,0.85,True,coherent,0.19759835243225096,0.5090546655654905,0.40529670715332033,11.200063323974609,0.031218675807537895,0.03553450452505687,G2,conditional,271,
